course_num,priority,coreq,prereq,prereq_and,prereq_or,course_name
1203,1,0,0,0,0,COMPUTER SKILLS DIGITAL WORLD
1421,1,1423,0,0,0,PROG FUNDAMENTALS I-LAB
1423,1,1421,0,0,0,PROGAMMING FUNDAMENTALS I
1513,1,0,0,0,0,INTRODUCTION TO INFORMATICS
2003,1,0,0,0,0,SOFTWARE SYS DESIGN & TOOLS
2443,3,0,1423,0,0,COMP ORG & MACHINE LANGUAGE
2493,1,0,1423,0,0,PROGRAMMING FUNDAMENTALS II
2513,2,0,0,0,0,INFORMATION SECURITY & ETHICS
3002,1,0,0,0,0,ADVANCED COMPUTING TECHNOLOGY
3013,3,0,0,0,0,APPLIED COMPUTATIONAL THINK
3053,1,0,2493,0,2003,DATA STRUCTURES
3103,10,0,2493,0,2003,APPLIED COMPUTER GRAPHICS
3113,6,0,0,0,0,FUNDAMENTALS OF SAS PROGRAMG
3313,3,0,2493,0,2003,APP DEV FOR MOBILE DEVICES
3323,5,0,2493,0,2003,ROBOTICS DESIGN & DEVELOPMENT
3353,6,0,0,0,0,INTERACTIVE DIGITAL ART
3413,2,0,3053,0,0,SOFTWARE ENGINEERING
3423,2,0,2493,0,2003,DATABASE MANAGEMENT
3441,2,3443,0,0,0,DIGITAL LOGIC COMP ARCH-LAB
3443,2,3441,2443,0,0,DIGITAL LOGIC-COMP ARCHITECT
3503,3,0,2443,0,2493,OPERATING SYSTEMS
3513,3,0,1513,0,1423,INFO SYSTEMS PROJECT MGMT
3603,2,0,3423,0,0,FOUNDATIONS OF DATA SCIENCE
3613,3,0,3503,0,0,ALGORITHIM ANALYSIS & DESIGN
3703,10,0,2493,0,2003,INTERFACE DESIGN & DEVELOP
3713,4,0,2513,0,0,FUNDAMENTALS OF CRYPTOGRAPHY
3803,2,0,2493,0,2003,WEBSITE DEVELOPMENT
4303,7,0,2493,0,2003,ADV MODELING & VISUALIZATION
4313,2,0,2493,0,2003,NETWORK & DATA COMMUNICATION
4343,2,0,3423,0,0,DIGITAL FORENSICS
4353,6,0,3353,0,0,ADV INTERACTIVE DIGITAL ART
4653,7,0,3423,4313,0,ETHICAL HACKING SYS DEFENSE
4483,6,0,3713,0,0,DIGITAL TRUST & PRIVACY
4513,7,0,3423,0,0,DATA WAREHOUSING
4533,4,0,0,0,0,TRENDS & ISSUES IN COMPU SCI
4623,7,0,3423,0,0,BIG DATA & HIGH PERF COMPUT
4723,2,0,3053,0,4823,MACHINE LEARNING
4803,10,0,3803,0,0,PROGRAMMING FOR THE WEB
4823,4,0,2493,0,2003,PRINCIPLES OF DATA MINING
5001,1,0,0,0,0,PROGRAMMING FOR INFORMATICS
5011,1,0,0,0,0,INFO SYSTEMS INFRASTRUCTURE
5103,1,0,0,0,0,FUNDAMENTALS OF INFORMATICS
5123,2,0,0,0,0,FOUND INFO SYSTEMS SECURITY
5133,3,0,5123,0,0,INFO SECURITY RISK MANAGEMENT
5143,10,0,5123,0,0,HUMAN ASPECTS CYBERSECURITY
5203,2,0,5103,0,0,DATABASE SYSTEMS
5343,2,0,5123,0,0,COMPUTER FORENSICS
5413,3,0,5103,0,0,DATA COMMUNICATION NETWORKS
5423,3,0,5123,0,0,WEB APPLICATION SECURITY
5443,10,0,5103,0,0,HUMAN-COMPUTER INTERFACE
5453,2,0,5443,0,0,USABLE PRIVACY & SECURITY
5513,3,0,5103,0,0,DATA & INFO VISUALIZATION
5573,3,0,5103,0,0,FOUNDATIONS OF DATA SCIENCE
5663,3,0,0,0,0,STATISTICAL PROGRAMMING
5673,3,0,5103,0,0,"BIG DATA: MGMT, ACCESS, & USE"
5683,10,0,5123,5673,0,BIG DATA SECURITY
5803,3,0,5203,0,0,DATA WAREHOUSING
5823,2,0,5103,0,0,MODELING MACHINE LEARNING
5833,2,0,5203,0,0,DATA MINING & ANALYSIS
